Fear_the_Reefer,Sword Art Online,11757,5
Fear_the_Reefer,C: The Money of Soul and Possibility Control,10163,4
Fear_the_Reefer,B-gata H-kei,7817,8
Fear_the_Reefer,Vampire Knight,3457,5
femto999,K,14467,9
femto999,Sword Art Online II,21881,7
femto999,Gantz,384,3
femto999,Tokyo Ghoul √A,27899,7
FlameTaJaDoru,Black Bullet,20787,6
FlameTaJaDoru,IS: Infinite Stratos,9041,6
FlameTaJaDoru,Akame ga Kill!,22199,7
Flare_Tide,Sword Art Online,11757,10
Flare_Tide,Accel World,11759,10
Flare_Tide,Btooom!,14345,9
Flare_Tide,IS: Infinite Stratos,9041,9
Flare_Tide,Tokyo Ghoul √A,27899,8
Flawfinder,Akame ga Kill!,22199,2
Flawfinder,Rokka no Yuusha,28497,4
Flawfinder,Guilty Crown,10793,8
Flawfinder,Koutetsujou no Kabaneri,28623,7
forster82,Goblin Slayer,37349,9
forster82,Deadman Wonderland,6880,6
forster82,Sword Art Online: Alicization,36474,9
forster82,Kenja no Mago,36407,7
For_Reign,Accel World,11759,8
For_Reign,Fate/stay night,356,8
For_Reign,Black Bullet,20787,7
For_Reign,K,14467,7
For_Reign,Akame ga Kill!,22199,7
Fragglepuss,Mahouka Koukou no Rettousei,20785,5
Fragglepuss,Sword Art Online,11757,8
Fragglepuss,Black Bullet,20787,7
Fragglepuss,Deadman Wonderland,6880,9
Fragglepuss,Highschool of the Dead,8074,8
Frassati,Sword Art Online,11757,6
Frassati,Sword Art Online II,21881,4
Frassati,One Punch Man 2nd Season,34134,5
fraz15,Elfen Lied,226,8
fraz15,Tokyo Ghoul √A,27899,7
fraz15,Boruto: Naruto Next Generations,34566,1
FrostyFullbuster,Tokyo Ghoul √A,27899,4
FrostyFullbuster,Sword Art Online II,21881,3
FrostyFullbuster,IS: Infinite Stratos,9041,3
FuegoIndigo,Sword Art Online II,21881,5
FuegoIndigo,Sword Art Online,11757,3
FuegoIndigo,Masamune-kun no Revenge,33487,2
FullmetalCowboy,Highschool of the Dead,8074,5
FullmetalCowboy,Elfen Lied,226,6
FullmetalCowboy,Deadman Wonderland,6880,5
FullmetalCowboy,Sword Art Online,11757,4
FullmetalCowboy,Baka to Test to Shoukanjuu,6347,6
GameMasterGary,Elfen Lied,226,7
GameMasterGary,Goblin Slayer,37349,8
GameMasterGary,Sword Art Online: Alicization,36474,8
GameMasterGary,One Punch Man 2nd Season,34134,7
garfaneklZ,Guilty Crown,10793,7
garfaneklZ,Aldnoah.Zero,22729,7
garfaneklZ,Akame ga Kill!,22199,9
GarlandReese,K,14467,8
GarlandReese,Aldnoah.Zero,22729,5
GarlandReese,Sword Art Online,11757,7
GarlandReese,Mahouka Koukou no Rettousei,20785,4
GarlandReese,Vampire Knight,3457,6
Gazz,Himouto! Umaru-chan,28825,6
Gazz,Masamune-kun no Revenge,33487,5
Gazz,Gamers!,34280,3
Geddon616,Mahouka Koukou no Rettousei,20785,9
Geddon616,Rakudai Kishi no Cavalry,30296,8
Geddon616,Boruto: Naruto Next Generations,34566,3
